feature,importance_mean,importance_std
cost_overrun_pct,0.18670480427988775,0.02083092757232438
delay_intensity,0.10533529318290166,0.010967050834598521
resource_utilization,0.039769055564383725,0.007732981546912214
efficiency_gap,0.016740823136818718,0.004399010345272622
labor_intensity,0.0037872768684782065,0.0019539712250359713
profit,0.002881508554478507,0.0008680923581741359
schedule_delay,0.0027861645214259266,0.0019745328052775354
labor_cost,0.0016817628052333334,0.002296654183944986
revenue,0.0010434874728534548,0.0010815389627769614
budget,0.0006912442396313501,0.0013056835637480614
profit_margin,0.0003495947878595529,0.0011325812689864652
project_duration,-0.00010858625986547299,0.00031279698261758984
team_size,-0.0004396419301869514,0.001136809501377497
revenue_to_cost_ratio,-0.0010355421367656992,0.0016491310184822516
actual_cost,-0.0017559192753853203,0.001476210754918602
